Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED
Botswana,Africa,305844,2687,Puducherry,165776,2,163812,1962,Bosnia and Herzegovina,1924950,4,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V"
Brazil,America,30183929,661493,Punjab,759223,55,741425,17743,Botswana,2517260,6,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
British Virgin Islands,America,6162,62,Rajasthan,1283141,83,1273506,9552,Brazil,407798554,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Brunei Darussalam,Asia,139278,157,Sikkim,39144,1,38691,452,British Virgin Islands,40697,2,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S"
Bulgaria,Europe,1147812,36756,Tamil Nadu,3453163,228,3414910,38025,Brunei Darussalam,1084543,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Burkina Faso,Africa,20865,383,Telangana,791561,233,787217,4111,Bulgaria,4363076,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Burundi,Africa,38722,15,Tripura,100878,0,99956,922,Burkina Faso,2440917,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
Cabo Verde,,55978,401,Uttar Pradesh,2071186,307,2047380,23499,Burundi,11083,1,Beijing CNBG - BBIBP-CorV
Cambodia,Asia,135998,3055,Uttarakhand,437303,424,429187,7692,Cabo Verde,728077,4,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Cameroon,Africa,119544,1927,West Bengal,2017733,400,1996133,21200,Cambodia,37123822,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Canada,America,3590820,38095,,,,,,Cameroon,1820196,4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Cayman Islands,America,21121,25,,,,,,Canada,81549238,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Central African Republic,Africa,14354,113,,,,,,Cayman Islands,142198,1,Pfizer BioNTech - Comirnaty
Chad,Africa,7378,192,,,,,,Central African Republic,,2,"Bharat - Covaxin,SII - Covishield"
Chile,America,3518800,57098,,,,,,Chad,2291152,1,Beijing CNBG - BBIBP-CorV
China,Asia,954346,14440,,,,,,Chile,51427093,4,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Colombia,America,6088619,139729,,,,,,China,3293526192,8,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated"
Comoros,Africa,8100,160,,,,,,Colombia,81700313,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Congo,Africa,24028,385,,,,,,Comoros,637961,3,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield"
Cook Islands,,3688,0,,,,,,Congo,,4,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield"
Costa Rica,America,844892,8357,,,,,,Cook Islands,39686,1,Pfizer BioNTech - Comirnaty
Côte d’Ivoire,Africa,81838,797,,,,,,Costa Rica,10440011,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Croatia,Europe,1110989,15707,,,,,,Côte d’Ivoire,11872480,5,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Cuba,America,1098114,8519,,,,,,Croatia,5233136,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Curaçao,America,41306,271,,,,,,Cuba,35568988,3,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02"
Cyprus,Europe,462783,984,,,,,,Curaçao,248376,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Czechia,Europe,3875994,39945,,,,,,Cyprus,1755104,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Democratic People's Republic of Korea,,0,0,,,,,,Czechia,17517542,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Democratic Republic of the Congo,Africa,87023,1337,,,,,,Democratic Republic of the Congo,881240,1,SII - Covishield
Denmark,Europe,3091899,5945,,,,,,Denmark,13198259,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Djibouti,Africa,15598,189,,,,,,Djibouti,174640,6,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Dominica,America,11981,63,,,,,,Dominica,66321,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield"
Dominican Republic,America,578663,4375,,,,,,Dominican Republic,15468632,3,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac"
Ecuador,America,865585,35513,,,,,,Ecuador,33878520,4,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Egypt,Africa,511977,24522,,,,,,Egypt,80130948,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
El Salvador,America,162089,4124,,,,,,El Salvador,10513713,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Equatorial Guinea,Africa,15906,183,,,,,,Equatorial Guinea,467504,2,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac"
Eritrea,Africa,9733,103,,,,,,Estonia,2059566,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Estonia,Europe,566467,2505,,,,,,Eswatini,509424,3,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Eswatini,Africa,70048,1395,,,,,,Ethiopia,29411822,4,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield"
Ethiopia,Africa,470151,7509,,,,,,Falkland Islands (Malvinas),4407,1,AstraZeneca - AZD1222
Falkland Islands (Malvinas),America,131,0,,,,,,Faroe Islands,103894,2,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty"
Faroe Islands,Europe,34658,28,,,,,,Fiji,1428275,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield"
Fiji,Oceania,64502,862,,,,,,Finland,11726962,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Finland,Europe,949583,3517,,,,,,France,155294157,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
France,Europe,26525319,140558,,,,,,French Guiana,226029,2,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
French Guiana,,79529,394,,,,,,French Polynesia,,2,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
French Polynesia,Oceania,72596,648,,,,,,Gabon,550042,3,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty"
Gabon,Africa,47591,303,,,,,,Gambia,363353,2,"Beijing CNBG - BBIBP-CorV,SII - Covishield"
Gambia,Africa,11994,365,,,,,,Georgia,2651941,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Georgia,Europe,1652472,16783,,,,,,Germany,172399839,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Germany,Europe,23182447,132688,,,,,,Ghana,,2,"Gamaleya - Gam-Covid-Vac,SII - Covishield"
Ghana,Africa,161086,1445,,,,,,Gibraltar,119578,2,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty"
Gibraltar,Europe,17236,101,,,,,,Greece,20712225,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Greece,Europe,3206948,28344,,,,,,Greenland,79745,1,Moderna - mRNA-1273
Greenland,America,11971,21,,,,,,Grenada,87590,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Grenada,America,14092,219,,,,,,Guadeloupe,371502,6,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Guadeloupe,,142573,940,,,,,,Guam,334957,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Guam,Oceania,40053,352,,,,,,Guatemala,16674518,5,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Guatemala,America,836234,17400,,,,,,Guernsey,150724,3,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty"
Guernsey,Europe,23684,43,,,,,,Guinea,5952680,6,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
