Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED_NAME
Saint Barthélemy,,4233,4,,0,0,0,0,San Marino,69164,2,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty"
Saint Helena,,0,0,,0,0,0,0,Sao Tome and Principe,208657,2,"AstraZeneca - Vaxzevria,SII - Covishield"
Saint Kitts and Nevis,America,5554,43,,0,0,0,0,Saudi Arabia,63823469,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Saint Lucia,America,23050,365,,0,0,0,0,Senegal,2496373,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
Saint Martin,,10129,44,,0,0,0,0,Serbia,6695589,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Saint Pierre and Miquelon,,2537,1,,0,0,0,0,Seychelles,199850,4,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield"
Saint Vincent and the Grenadines,America,8348,106,,0,0,0,0,Sierra Leone,2868978,2,"Beijing CNBG - BBIBP-CorV,SII - Covishield"
Samoa,,4092,9,,0,0,0,0,Singapore,13825593,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
San Marino,,15874,114,,0,0,0,0,Sint Eustatius,3110,0,SII - Covishield
Sao Tome and Principe,,5948,73,,0,0,0,0,Sint Maarten,62043,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Saudi Arabia,,752188,9062,,0,0,0,0,Slovakia,7060104,5,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Senegal,Africa,85954,1965,,0,0,0,0,Slovenia,2952581,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Serbia,Europe,1992677,15906,,0,0,0,0,Solomon Islands,393415,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield"
Seychelles,Africa,41379,163,,0,0,0,0,Somalia,2511394,4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac"
Sierra Leone,Africa,7677,125,,0,0,0,0,South Africa,33405701,2,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
Singapore,Asia,1148656,1309,,0,0,0,0,South Sudan,645347,2,"Janssen - Ad26.COV 2-S,SII - Covishield"
Sint Eustatius,,886,5,,0,0,0,0,Spain,101041014,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Sint Maarten,America,9873,86,,0,0,0,0,Sri Lanka,39365274,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Slovakia,Europe,1757117,19643,,0,0,0,0,Sudan,7037185,5,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Slovenia,Europe,992497,7509,,0,0,0,0,Suriname,553031,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Solomon Islands,Oceania,12285,139,,0,0,0,0,Sweden,20714993,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Somalia,Africa,26471,1361,,0,0,0,0,Switzerland,16169128,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
South Africa,Africa,3735578,100132,,0,0,0,0,Syrian Arab Republic,3609370,6,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac"
